Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.0023188218500820312,)","(0.0001948897501904412,)","(0.0001948966841496258,)","(-0.0001469176133689909,)","(8.093114411400482e-05,)","(8.093114411400482e-05,)","(-3.8179515545000084e-05,)","(2.0235518163999947e-05,)","(2.0234009973999975e-05,)","(-6.35175389319953e-05,)","(5.54861796098205e-06,)","(5.557059901989403e-06,)","(0.002567436518006616,)","(8.817446999387357e-05,)","(8.817446999387357e-05,)",1.75,1.25,1.0
"(0.0012882873585340349,)","(0.00018213831143043535,)","(0.00018213956676049747,)","(-0.00015229844331798859,)","(6.878763267501031e-05,)","(6.878763267600951e-05,)","(-3.118959913700004e-05,)","(1.7158112093000003e-05,)","(1.715802189300019e-05,)","(-4.537857271003087e-05,)","(6.892298902966276e-06,)","(6.893644992983505e-06,)","(0.0015171539729976757,)","(8.930026700681992e-05,)","(8.930026700681992e-05,)",1.75,1.25,1.25
"(0.000626650532410622,)","(0.00015834112443258164,)","(0.00015834600358743955,)","(-0.0001450720173900022,)","(6.002684279701742e-05,)","(6.002684279701742e-05,)","(-2.446157980800015e-05,)","(1.5083451349000212e-05,)","(1.508504298100002e-05,)","(-3.07530095930153e-05,)","(8.421990681961589e-06,)","(8.425278058971086e-06,)","(0.0008269371389815205,)","(7.48088390025714e-05,)","(7.48088390025714e-05,)",1.75,1.25,1.5
"(0.0002519647596272989,)","(0.0001272554995637165,)","(0.00012724773264949363,)","(-0.00012929961647700772,)","(5.569949882899827e-05,)","(5.569949882899827e-05,)","(-1.8630256623999777e-05,)","(1.3799079564000023e-05,)","(1.3796775627000074e-05,)","(-1.9943328980004393e-05,)","(8.753069938000069e-06,)","(8.747606856984724e-06,)","(0.000419837961999292,)","(4.9003850989493e-05,)","(4.9003850989493e-05,)",1.75,1.25,1.75
"(0.003022145649254071,)","(0.0002009537669778183,)","(0.00020097438834909553,)","(-0.00013837460026999704,)","(8.794599694400551e-05,)","(8.794599694400551e-05,)","(-4.1730503985999874e-05,)","(2.212732936600001e-05,)","(2.21289872510003e-05,)","(-7.417501544396132e-05,)","(5.382465850994889e-06,)","(5.401429725993001e-06,)","(0.003276425767978708,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.75,1.5,0.25
"(0.0024768186577261986,)","(0.00019621640478817426,)","(0.00019621728267793515,)","(-0.00014523514041497876,)","(8.258436164901295e-05,)","(8.258436164801375e-05,)","(-3.9045446621000304e-05,)","(2.0672992811000303e-05,)","(2.0675564841999942e-05,)","(-6.604378554603274e-05,)","(5.458075172964927e-06,)","(5.456381094975926e-06,)","(0.002727143030995194,)","(8.750097501319942e-05,)","(8.750097501319942e-05,)",1.75,1.5,0.5
"(0.0017840229718899536,)","(0.00018973111880882243,)","(0.00018972930118366094,)","(-0.00015119794079299087,)","(7.493872381100775e-05,)","(7.493872381100775e-05,)","(-3.4901625630000006e-05,)","(1.8677818531000288e-05,)","(1.867614388900013e-05,)","(-5.45941199679989e-05,)","(6.054919829967531e-06,)","(6.054776879982349e-06,)","(0.0020247166580134035,)","(9.005965600294985e-05,)","(9.005965600294985e-05,)",1.75,1.5,0.75
"(0.0011313029573898348,)","(0.0001785980163901968,)","(0.00017851555017500687,)","(-0.0001517704775980122,)","(6.672873356800002e-05,)","(6.672873356700082e-05,)","(-2.9812471321999812e-05,)","(1.6677352168000155e-05,)","(1.666854768500028e-05,)","(-4.208846937198141e-05,)","(7.329113388993003e-06,)","(7.255451668991553e-06,)","(0.001354974375999518,)","(8.786281699713072e-05,)","(8.786281699713072e-05,)",1.75,1.5,1.0
"(0.0006266492077031671,)","(0.000158333040872094,)","(0.0001583341071693667,)","(-0.0001450720280389839,)","(6.0026851715022644e-05,)","(6.0026851716021845e-05,)","(-2.4463117559000037e-05,)","(1.508319381500001e-05,)","(1.5083342010000118e-05,)","(-3.075278622999278e-05,)","(8.41415570795867e-06,)","(8.415073492973324e-06,)","(0.0008269371399762804,)","(7.48088390025714e-05,)","(7.480883999733123e-05,)",1.75,1.5,1.25
"(0.0002923139083463866,)","(0.00013166395015673515,)","(0.00013167003172043223,)","(-0.00013193276886003247,)","(5.610258064800422e-05,)","(5.610258064700502e-05,)","(-1.9405137809000005e-05,)","(1.3959783572999908e-05,)","(1.395879641700017e-05,)","(-2.1282316065962537e-05,)","(8.797064416976585e-06,)","(8.804133072970455e-06,)","(0.00046493413100279213,)","(5.280452100464572e-05,)","(5.280452100464572e-05,)",1.75,1.5,1.5
"(9.879287136982384e-05,)","(0.00010721575031880093,)","(0.00010721365177346343,)","(-0.00011452740801198846,)","(5.41851846090069e-05,)","(5.41851846090069e-05,)","(-1.4993152121000296e-05,)","(1.2969912411999948e-05,)","(1.2969225001000298e-05,)","(-1.4011934093033362e-05,)","(8.11538670497658e-06,)","(8.113975690976494e-06,)","(0.00024232536497947876,)","(3.194526598804259e-05,)","(3.194526598804259e-05,)",1.75,1.5,1.75
"(0.0012883317237708525,)","(0.0001821559452253041,)","(0.00018213856969850895,)","(-0.00015229904189900667,)","(6.878885402500368e-05,)","(6.878885402600288e-05,)","(-3.118800192799956e-05,)","(1.7158922666000217e-05,)","(1.7158974383000257e-05,)","(-4.533513847998494e-05,)","(6.907901548974804e-06,)","(6.8904741859776575e-06,)","(0.0015171539070024664,)","(8.930026700681992e-05,)","(8.930026700681992e-05,)",1.75,1.75,0.25
"(0.0010599176314656233,)","(0.0001765374638580397,)","(0.00017653666228056863,)","(-0.00015134323162097063,)","(6.578199024501186e-05,)","(6.578199024601106e-05,)","(-2.9159674826000157e-05,)","(1.6446250251999934e-05,)","(1.6445962703000132e-05,)","(-4.069964370301271e-05,)","(7.399510958988609e-06,)","(7.398996967972193e-06,)","(0.0012811201819999951,)","(8.690971199598607e-05,)","(8.690971199598607e-05,)",1.75,1.75,0.5
"(0.0007642902005216001,)","(0.00016556184161231613,)","(0.00016559390883230662,)","(-0.00014791371507899553,)","(6.183008531202017e-05,)","(6.183008531202017e-05,)","(-2.610745192299993e-05,)","(1.5518654053000083e-05,)","(1.552122261500033e-05,)","(-3.4106340851020045e-05,)","(8.09258957895631e-06,)","(8.122088061973676e-06,)","(0.0009724177079704077,)","(8.01205119955739e-05,)","(8.012051299033374e-05,)",1.75,1.75,0.75
"(0.00047862814389532105,)","(0.000148410206435301,)","(0.000148413139186232,)","(-0.0001406688593429961,)","(5.8179593661999984e-05,)","(5.8179593661999984e-05,)","(-2.2453758952999808e-05,)","(1.4609336341000253e-05,)","(1.4608799260999988e-05,)","(-2.6869070097024217e-05,)","(8.692198126991624e-06,)","(8.69566794198251e-06,)","(0.0006686198320267067,)","(6.69290780024312e-05,)","(6.69290780024312e-05,)",1.75,1.75,1.0
"(0.00025197557579303975,)","(0.0001272606200757309,)","(0.00012725594913831628,)","(-0.00012929971914998895,)","(5.56995147160122e-05,)","(5.5699514715013e-05,)","(-1.862896502500015e-05,)","(1.3799492932000008e-05,)","(1.379759458700015e-05,)","(-1.9933699916985237e-05,)","(8.75776117298388e-06,)","(8.754988669978925e-06,)","(0.00041983795995292894,)","(4.9003850989493e-05,)","(4.9003850989493e-05,)",1.75,1.75,1.25
"(9.881891796226228e-05,)","(0.00010721165651261799,)","(0.00010721546948389005,)","(-0.00011452719953403134,)","(5.418519173699954e-05,)","(5.418519173600034e-05,)","(-1.4992299877999733e-05,)","(1.296895472300023e-05,)","(1.2970867821000126e-05,)","(-1.398699992294361e-05,)","(8.112243099989147e-06,)","(8.114143075999003e-06,)","(0.00024232541801438856,)","(3.194526701122413e-05,)","(3.194526701122413e-05,)",1.75,1.75,1.5
"(1.0351011042075697e-05,)","(9.20721822978976e-05,)","(9.20718360077899e-05,)","(-9.768236231699756e-05,)","(5.251220302202042e-05,)","(5.251220302202042e-05,)","(-1.1760960417000685e-05,)","(1.1964145682000042e-05,)","(1.1964193338999916e-05,)","(-9.281129766974816e-06,)","(7.08563749698965e-06,)","(7.085243275972708e-06,)","(0.0001290754640308478,)","(2.0510196009126958e-05,)","(2.0510196009126958e-05,)",1.75,1.75,1.75
